P_CODE,VDC_NAME,DISTRICT,REGION,MMI_MAX,MMI_MAX,POP_2011,POP_2011,POPDEN_2011,POPDEN_2011,HOUSE_WALL_PERCENT_HIGH_RISK,HOUSE_WALL_PERCENT_HIGH_RISK,HOUSE_ROOF_PERCENT_HIGH_RISK,HOUSE_ROOF_PERCENT_HIGH_RISK,HUMAN_POVERTY_INDEX,HUMAN_POVERTY_INDEX,,,,,,,,,,,,,
C-BAG-23-030,Ichok,Sindhupalchok,Central,7.51,8.70,5387,6.23,144.82,4.95,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-031,Irkhu,Sindhupalchok,Central,7.70,8.91,3443,5.91,276.77,5.60,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-032,Jalbire,Sindhupalchok,Central,7.56,8.76,2540,5.68,358.35,5.85,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-033,Jethal,Sindhupalchok,Central,7.64,8.84,2553,5.69,245,5.48,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-034,Jyamire,Sindhupalchok,Central,7.62,8.82,5553,6.25,282.39,5.62,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-035,Kadambas,Sindhupalchok,Central,7.64,8.84,3372,5.89,243.24,5.47,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-036,Kalika,Sindhupalchok,Central,7.66,8.88,2251,5.60,201.72,5.28,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-037,Karthali,Sindhupalchok,Central,7.55,8.74,3347,5.89,128.23,4.83,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-038,Kiwool,Sindhupalchok,Central,7.59,8.78,2950,5.79,113.06,4.71,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-039,Kubhinde,Sindhupalchok,Central,7.67,8.88,3009,5.81,379.39,5.91,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
